Country,Year,Amount
Belgium,2011,3151.00
Bulgaria,2011,1126.00
Czechia,2011,2735.93
Denmark,2011,4879.50
Germany,2011,30301.36
Estonia,2011,692.4
Ireland,2011,5556.20
Greece,2011,757
Spain,2011,6487.68
France,2011,25091.93
Croatia,2011,804
Italy,2011,11298.61
Cyprus,2011,156.02
Latvia,2011,841.7
Lithuania,2011,1782.32
Luxembourg,2011,292.25
Hungary,2011,1712.48
Malta,2011,33.89
Netherlands,2011,11850.72
Austria,2011,3307.13
Poland,2011,12414.00
Portugal,2011,1918.52
Romania,2011,4075.00
Slovenia,2011,601.59
Slovakia,2011,928.32
Finland,2011,2300.73
Sweden,2011,2850.40
Belgium,2012,3116.00
Bulgaria,2012,1093.00
Czechia,2012,2814.68
Denmark,2012,5006.40
Germany,2012,30672.15
Estonia,2012,720.7
Ireland,2012,5399.30
Greece,2012,765.5
Spain,2012,6502.41
France,2012,24718.38
Croatia,2012,810
Italy,2012,11500.00
Cyprus,2012,153.74
Latvia,2012,870.6
Lithuania,2012,1774.53
Luxembourg,2012,289.4
Hungary,2012,1812.85
Malta,2012,33.89
Netherlands,2012,11880.95
Austria,2012,3382.10
Poland,2012,12668.00
Portugal,2012,1938.13
Romania,2012,3881.00
Slovenia,2012,620.94
Slovakia,2012,932.71
Finland,2012,2296.68
Sweden,2012,2861.17
Belgium,2013,3529.00
Bulgaria,2013,1149.00
Czechia,2013,2849.43
Denmark,2013,5081.80
Germany,2013,31324.24
Estonia,2013,771.6
Ireland,2013,5600.70
Greece,2013,730.6
Spain,2013,6559.18
France,2013,24459.76
Croatia,2013,717
Italy,2013,11281.26
Cyprus,2013,163.27
Latvia,2013,912
Lithuania,2013,1719.51
Luxembourg,2013,295.86
Hungary,2013,1772.76
Malta,2013,40.92
Netherlands,2013,12407.69
Austria,2013,3393.06
Poland,2013,12718.00
Portugal,2013,1847.98
Romania,2013,3966.00
Slovenia,2013,595.5
Slovakia,2013,911.96
Finland,2013,2327.80
Sweden,2013,2869.58
Belgium,2014,3710.00
Bulgaria,2014,1103.00
Czechia,2014,2933.46
Denmark,2014,5162.00
Germany,2014,32381.06
Estonia,2014,804.8
Ireland,2014,5821.30
Greece,2014,769
Spain,2014,6779.75
France,2014,25728.32
Croatia,2014,712
Italy,2014,11500.00
Cyprus,2014,164.64
Latvia,2014,968.9
Lithuania,2014,1791.13
Luxembourg,2014,317.05
Hungary,2014,1875.72
Malta,2014,42.77
Netherlands,2014,12660.35
Austria,2014,3493.86
Poland,2014,12986.00
Portugal,2014,1942.78
Romania,2014,4101.00
Slovenia,2014,616.58
Slovakia,2014,930.71
Finland,2014,2400.01
Sweden,2014,2931.65
Belgium,2015,3826.00
Bulgaria,2015,1028.04
Czechia,2015,3025.88
Denmark,2015,5335.70
Germany,2015,32670.88
Estonia,2015,782.7
Ireland,2015,6604.41
Greece,2015,770
Spain,2015,7029.48
France,2015,25820.27
Croatia,2015,694
Italy,2015,11425.94
Cyprus,2015,165.3
Latvia,2015,975.4
Lithuania,2015,1734.73
Luxembourg,2015,346.25
Hungary,2015,1941.33
Malta,2015,41.57
Netherlands,2015,13522.12
Austria,2015,3537.76
Poland,2015,13236.23
Portugal,2015,2013.78
Romania,2015,3981.00
Slovenia,2015,631.67
Slovakia,2015,930.98
Finland,2015,2436.76
Sweden,2015,2933.16
Belgium,2016,3933.00
Bulgaria,2016,1018.58
Czechia,2016,3064.73
Denmark,2016,5435.70
Germany,2016,32672.34
Estonia,2016,782.7
Ireland,2016,6871.94
Greece,2016,706
Spain,2016,7123.77
France,2016,25138.93
Croatia,2016,671
Italy,2016,11886.04
Cyprus,2016,186.02
Latvia,2016,983.5
Lithuania,2016,1623.87
Luxembourg,2016,376.22
Hungary,2016,1918.23
Malta,2016,43.13
Netherlands,2016,14531.00
Austria,2016,3627.61
Poland,2016,13244.17
Portugal,2016,1922.97
Romania,2016,3934.00
Slovenia,2016,649.68
Slovakia,2016,905.26
Finland,2016,2429.59
Sweden,2016,2862.23
Belgium,2017,4060.00
