Country,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),"21,252.72",,"21,406.94",,"21,652.41",,"21,637.82",,"21,651.74",,"21,633.77",,"21,409.14",,"21,029.46",,"20,765.52",,"20,514.06",,"20,204.23",p
Belgium,510.65,,503.54,,515.99,,519.09,,528.78,,530.59,,519.16,,529.25,,537.96,,537.94,,537.25,
Bulgaria,313.18,,294.49,,313.25,,301.71,,282.96,,278.92,,260.78,,244.36,,226.69,,241.94,,230.34,
Czechia,374.07,,367.07,,375.33,,372.39,,369.06,,367.31,,365.46,,358.6,,361.43,,357.01,,362.35,
Denmark,579,,579,,567,,547,,570,,565,,575,,570,,563,,565,,559,
Germany (until 1990 former territory of the FRG),"4,190.10",,"4,190.49",,"4,267.61",,"4,295.68",,"4,284.64",,"4,217.70",,"4,199.01",,"4,100.86",,"4,011.67",,"3,921.41",,"3,832.72",
Estonia,96.2,,96.8,,97.9,,95.6,,90.6,,86.1,,86.4,,85.2,,85,,84.3,,83.7,
Ireland,"1,035.64",,"1,060.26",,"1,082.46",,"1,127.72",,"1,239.89",,"1,295.23",,"1,343.30",,"1,369.10",,"1,425.76",,"1,456.05",,"1,505.27",
Greece,130,,132,,130,,135,,111,,106,,97,,95,,86,,82,,83,
Spain,797.89,,827.21,,844.06,,844.79,,844.11,,834.45,,823.39,,816.69,,812.87,,810.74,p,808.86,p
France,"3,664.00",,"3,644.00",,"3,698.45",,"3,661.18",,"3,637.02",,"3,637.02",,"3,596.84",,"3,554.23",,"3,490.81",d,"3,405.68",d,"3,322.03",p
Croatia,184.7,,181,,168,,159,,152,,147,,139,,136,b,130,,110,,102,
Italy,"1,754.98",,"2,009.07",,"2,074.54",,"2,069.39",,"2,056.81",,"2,060.47",,"2,040.11",,"1,939.48",,"1,875.72",,"1,871.27",,"1,844.37",
Cyprus,24.07,,24.2,,24.55,,25.33,,26.19,,28.46,,30.16,,31.88,,35.02,,39.49,,38.92,
Latvia,164.1,,164.56,,165.01,,165.87,,162.41,,154.02,,150.36,,144.47,,138.41,,136.04,,131.2,
Lithuania,349.5,,331,,315.7,,314,,300.5,,285.8,,272.8,,256.2,,240.9,,232.9,,225.2,
Luxembourg,44.48,,45,,48.27,,46.78,,49.13,,51.97,,52.12,,53,,54.15,,54.23,,54.57,
Hungary,252,,255,,250,,255,,250,,244,,244,,239,,243,,246.6,b,280.9,
Malta,6.31,,6.32,,6.33,,6.5,,6.37,,6.5,,6.14,,6.23,,6.12,,6.06,,5.87,
Netherlands,"1,504.00",,"1,541.00",,"1,597.00",,"1,610.00",,"1,717.00",,"1,794.00",,"1,665.00",,"1,552.00",,"1,590.00",,"1,569.00",,"1,554.00",
Austria,527.39,,523.37,,529.56,,537.74,,534.1,,539.87,,543.42,,532.87,,524.07,,524.78,,526.46,
Poland,"2,446.14",,"2,346.10",,"2,299.08",,"2,247.80",,"2,134.10",,"2,129.90",,"2,152.90",,"2,214.10",,"2,166.90",,"2,125.70",,"2,035.20",
Portugal,241.95,,236.56,,230.84,,233.83,,243.26,,238.91,,238.63,,235.47,,234.23,,232.75,,230.02,p
Romania,"1,170.00",,"1,162.70",,"1,168.90",,"1,188.40",,"1,190.70",,"1,192.60",,"1,175.40",,"1,158.20",,"1,138.80",,"1,121.90",,"1,081.90",
Slovenia,109.07,,111.02,,109.57,,107.84,,112.84,,107.84,,108.83,,102.71,,100.84,,99.21,,100.92,
Slovakia,154.11,,149.79,,144.88,,143.08,,139.26,,132.61,,129.86,,127.87,,125.85,,122.05,,120.07,
Finland,281.53,,279.87,,282.01,,282.91,,282.23,,275.38,,270.64,,263.64,,258.94,,255.62,,248.53,
Sweden,347.65,,345.53,,346.12,,344.19,,336.8,,326.12,,323.44,,313.05,,301.38,,304.4,,299.6,
Iceland,25.4,,25.4,,25.8,,26,,27,,26.3,,26.7,,26.4,,26.2,,26.4,,:,
Switzerland,:,,:,,:,,:,,579.88,,572.34,,567.38,,557.36,,551.76,,541.75,,538.96,
Montenegro,:,,59,,61,,63,,63,,59.6,p,60.4,p,59.5,p,57.2,p,:,,:,
North Macedonia,:,,123,,129,,127,,124,,125,,123,,129,,111,,108,,98,
Albania,:,,:,,:,,357.78,,357.52,,353.05,,346.41,,339.94,,313.89,,287.17,,275.58,
Serbia,477,,455,,429,,437,,430,,426,,429,,423,,423,,417,,408,
Türkiye,:,,"5,385.54",e,"5,563.14",e,"5,529.97",e,"5,509.36",e,"5,406.52",e,"5,938.15",e,"6,311.50",,"5,911.45",,"6,017.29",,"6,111.49",
Bosnia and Herzegovina,231,e,217,e,222,e,216,e,217,e,215,e,206,e,200,e,193,e,191,e,:,
Kosovo (under United Nations Security Council Resolution 1244/99),:,,:,,:,,134.56,,135.8,,136.78,,132.97,,132.97,,131.94,,133.92,,132.08,
