Month,Year,Amount
January,2020,176.2
February,2020,331.7
March,2020,725.7
April,2020,982.7
May,2020,1115.3
June,2020,1031
July,2020,985
August,2020,867.6
September,2020,725.4
October,2020,646.8
November,2020,449.8
December,2020,258.8
January,2021,182.2
February,2021,352.4
March,2021,829.7
April,2021,1060.5
May,2021,1181
June,2021,1067.3
July,2021,1017.3
August,2021,917.4
September,2021,776.7
October,2021,649.6
November,2021,465.9
December,2021,258.5
January,2022,183.3
February,2022,367.5
March,2022,808.6
April,2022,1054.6
May,2022,1166
June,2022,1057.6
July,2022,1022.8
August,2022,919
September,2022,785.6
October,2022,698.5
November,2021,465.9
December,2021,258.5
