Table 2 Milk Statistics,,,,,,,,,,,,,,,
Category,Year,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Domestic milk intake,2020,million,176.2,331.7,725.7,982.7,1115.3,1031.0,985.0,867.6,725.4,646.8,449.8,258.8,8295.9
   by creameries and,2021,litres,182.2,352.4,829.7,1060.5,1181.0,1067.3,1017.3,917.4,776.7,649.6,465.9,258.5,8758.3
   pasteurisers,2022,,183.3,367.5,808.6,1054.6,1166.0,1057.6,1022.8,919.0,785.6 1,698.5,,,
,,,,,,,,,,,,,,,
    Fat content,2020,%,4.31,4.29,4.27,3.97,3.87,3.97,4.04,4.17,4.43,4.71,4.86,4.67,4.20
,2021,,4.42,4.45,4.32,3.98,3.94,3.97,3.99,4.19,4.43,4.77,4.90,4.75,4.23
,2022,,4.41,4.44,4.33,4.04,3.95,4.00,4.03,4.21,4.56 1,4.81,,,
,,,,,,,,,,,,,,,
   Protein content,2020,%,3.48,3.38,3.29,3.43,3.46,3.45,3.51,3.57,3.78,3.99,3.85,3.67,3.55
,2021,,3.51,3.44,3.33,3.45,3.49,3.47,3.43,3.54,3.73,3.95,3.89,3.72,3.55
,2022,,3.47,3.42,3.33,3.44,3.45,3.47,3.47,3.53,3.75,3.97,,,
,,,,,,,,,,,,,,,
Total milk sold for human,2020,million,43.1,42.5,45.8,47.1,47.3,45.7,47.4,44.4,41.7,41.1,39.5,39.9,525.4
    consumption 2,2021,litres,40.4,36.3,42.1,42.9,46.6,44.7,45.2,44.8,41.7,41.8,40.1,39.7,506.4
,2022,,40.8,37.9,43.2,43.3,46.4,43.1,42.5,43.1,41.5,41.6,,,
,,,,,,,,,,,,,,,
of which:,2020,million,26.1,25.8,29.1,32.0,31.6,30.6,31.5,28.9,26.7,26.3,25.0,25.1,338.6
   Whole milk sales,2021,litres,25.1,22.4,26.5,27.7,30.8,29.7,30.2,29.0,26.6,25.9,24.6,24.50,323.1
,2022,,25.0,23.7,27.4,28.2,30.9,28.4,27.8,27.6,26.4,26.2,,,
,,,,,,,,,,,,,,,
    Skimmed  & semi-,2020,million,17.0,16.7,16.7,15.2,15.7,15.1,15.9,15.4,15.0,14.8,14.5,14.8,186.8
    skimmed milk sales,2021,litres,15.3,13.9,15.6,15.2,15.8,15.0,15.1,15.8,15.1,15.9,15.5,15.2,183.3
,2022,,15.8,14.3,15.8,15.0,15.5,14.6,14.7,15.5,15.1,15.4,,,
,,,,,,,,,,,,,,,
Butter,2020,'000,7.2,11.2,22.6,29.0,29.8,30.3,30.9,26.2,24.0,22.9,17.6,13.0,264.7
,2021,tonnes,6.5,10.7,26.9,30.5,31.4,31.5,30.8,28.8,26.5,22.1,17.8,12.2,275.6
,2022,,6.7,11.6,24.4,29.6,32.0,29.1,29.3,28.6 1,23.7,21.6,,,
,,,,,,,,,,,,,,,
Skimmed milk powder,2020,'000,*,2.8,7.3,18.9,24.6,20.1,20.3,17.8,12.5,8.3,*,*,150.1
,2021,tonnes,*,*,11.4,17.7,27.7,19.3,17.1,16.4,11.1,5.5,*,7.4,147.7
,2022,,5.2,3.4,9.7,21.7,28.3,26.2,22.1,16.9,13.2 1,*,,,
,,,,,,,,,,,,,,,
Cheese ,2019,'000,3.6,9.2,25.0,27.7,31.7,33.3,28.6,31.4,32.2,26.8,23.5,5.4,278.4
,2020,tonnes,3.3,9.3,30.6,28.2,31.6,34.3,28.7,29.7,33.9,27.8,21.4,6.8,285.4
,2021,,2.5,13.1,31.9,30.2,32.5,35.8,29.7,28.8,31.0,26.0,18.9,6.7,287.0
,,,, , , , , , , , , , , , 
1 Revised.,,,,,,,,,,,,,,,
2 Does not include imported packaged milk for retail sale.,,,,,,,,,,,,,,,
3 Provisional.,,,,,,,,,,,,,,,
* Confidential.,,,,,,,,,,,,,,,
