text,id,author_id,edit_history_tweet_ids,Tweet
"@fuckedupfoods As Someone From Ireland, We Can Confirm We Do Pour Baileys Instead Of Milk On Our Cereal For Breakfast.",1.60778E+18,1.25302E+18,['1607779060968574977'],Milk
"Pronouns: he/him/tat guy
Height: y'
Shoe size: 12
Zodiac:sagitarius
Smoke: no
Tattoos: roughly 200?
Piercings: ears and septum
Fav color: ireland green
Fav drink: chocolate milk https://t.co/wbRbWhVnxK",1.60775E+18,1.32073E+18,['1607749193900113922'],Milk
@lidl_ireland milk chocolate coated pistachios.  Thank me later.,1.60774E+18,565259157,['1607739270844014592'],Milk
"@davidtobin100 Agreed, a musician would never cut off his fingers? Mad story line. Pints on the bar below full then full when carried outside? Full milk churns lifted single handed off the cart? Come on simple things for a brilliant director &amp; cast. What a missed opportunity for IFB &amp; Ireland.",1.60772E+18,2390486108,['1607722466578956290'],Milk
"Bonjour, I'm Meowkil Catson. I come from Ireland. Did you know that 2+2 = 4? Absurd, yes? Take care of me, or I'll leave you only a drop of milk in the carton. I love you!",1.60765E+18,1.1104E+18,['1607650992119742465'],Milk
"A big thank you to those folks who voted in the Milk House competition. It's a lovely online poetry magazine and I hope it continues to do well in 2023.
JH x
#Poetry #Ireland #TheMilkHouse 
https://t.co/bh0upSK7jN",1.60764E+18,2604207350,['1607638781007482880'],Milk
"Incredible colonoscopic viualization of Trichuris Dysentery Syndrome-the... https://t.co/ynaCUH9rV7 via @YouTube 
india Japan Israel Netherlands Jamaica England Ireland West Indies 750,000 stores goat milk days of got milk or good",1.60761E+18,1.56563E+18,['1607610546224005122'],Milk
"Sup yo, I'm Captain Kitty. I come from Ireland. Did you know that 2+2 = 4? Witty, amirite? Take care of me, or I'll leave you only a drop of milk in the carton. I love you!",1.60748E+18,1.1104E+18,['1607484869407576064'],Milk
"@CarlowWeather 😲😱🥶,... Did you manage to get the bread and milk? 🤭 ❄️ #Baltic #ArcticBlast #expedition #MountLeinster #Ireland #snow #ice #windchill #mountain #hikingadventures",1.60738E+18,8.04584E+17,['1607378640781598721'],Milk
"@opheliamuses I've heard for years that doctors in Ireland prescribe Guinness for lactating mothers.  A dark stout.  Evidently full of minerals, low in alcohol content and does something for the milk supply.",1.60733E+18,2329688173,['1607332811614347265'],Milk
"@withoutanecho Tbf after watching that film, maybe I wanna go live on a Irish Ireland and just like ride around all day delivering milk",1.60727E+18,461771385,['1607273980758474753'],Milk
"@egel34 @JoannaMWallace In NZ the tank is owned by the milk company, ownership of the milk is transferred when entering the tank, in UK/Ireland the tank owned by farmer, ownership of milk transferred when entering the milk tanker collecting from the tank🤔",1.60719E+18,4129657521,['1607190221841653762'],Milk
"@AlanBoyce47 @PeterZeihan We don't grow or import alfalfa in Ireland - but produce and export  lots of milk though, 
       Desert grown alfalfa isn't a necessity- there's lots of places in the US that could produce milk",1.60695E+18,1.54426E+18,['1606947819600097281'],Milk
🎄The Irish Spirit team would like to wish you a Merry Christmas! It is a popular tradition to leave out some cookies and milk to help Mr Claus with his travels during Christmas. In Ireland it's a tradition to leave him a tasty mince pie and some Guinness to wash it down with!🍻 https://t.co/ZIev8tDdPT,1.60691E+18,8.82061E+17,['1606907741200678912'],Milk
"@VABVOX Same.  I tried, but they are hideous.  Cannot have tapioca pudding anywhere near me - it was a common dessert in our primary school (N. Ireland) and all I saw was frog spawn in milk. With a blob of red stuff in the middle (I scooped that out and ate it...I was tougher as a kid).",1.60672E+18,3044871157,['1606721358490107904'],Milk
On Thursday evening I found out that in Ireland Baileys is called Christmas milk! Now I feel like an absolute rube.,1.60669E+18,1272576450,['1606686850898268160'],Milk
"Today We're Looking At The: Top 5 Foods From Across The Globe That Kids Leave Out For Santa!
1. Mince Pies and Sherry (England)
2. Christmas Pudding or Mince Pie + Guinness (Ireland)
3. Hay and Water (Argentina)
4. Pan de Pascua (Chile)
5. Cookies and Milk (USA) https://t.co/26YEeZko9C",1.60664E+18,1.21928E+18,['1606642784424935426'],Milk
"The Milk Tray Man paid a visit earlier.  
#Chocolate ,#Christmas ,#Ireland ,
#gifts ,#FeelingFestive ,#Santa https://t.co/c3lhuAWwrK",1.60642E+18,32635255,['1606415771361501185'],Milk
"@RuisOlc @sitara68 I pray for the day Ireland get's past the mentality where we must buy everything because Dunnes is closed for 2 days!

Eg: I've 6 liters of milk in the fridge.
This is a weeks worth of consumption.
And yet I still have this niggling feeling I don't have enough 😭",1.60639E+18,1.17712E+18,['1606385932772511751'],Milk
Northern Ireland - Horgan’s Delicatessen Supplies is recalling Le Rustique le Bon Brie and Le Rustique Camembert because they contain milk which is not mentioned in English on the label. This mean... Food Poisoning https://t.co/kLvzzmJlGx #allergen #milk https://t.co/4oHaTcrvJe,1.6063E+18,9.21197E+17,['1606296143511650309'],Milk
"#family #mugs 9,99 https://t.co/5trcoyjqf4 #ceramic #shopping #OnlineShop #BestSeller #CoffeeTime #MILK #England #Scotland #France #Ireland #Poland #Deutschland #Italia #Espana #Portugal #giftideas #ecommerce #kitchendecor",1.60622E+18,8.03911E+17,['1606218228220317696'],Milk
"Howdly doodly, I'm Brandswaggle Cumberpunch. I come from Ireland. Did you know that 2+2 = 4? Blows your mind, I know. Take care of me, or I'll leave you only a drop of milk in the carton. I think you're beautiful!",1.60621E+18,1.1104E+18,['1606208920707469312'],Milk
"@crapbearddad Ah nice mate so you all set, same here, ain't crossing that door between now &amp; next year only for bread &amp; milk, and tonnes of fooking beers 😂😂😂.  No secret santa for me. I'm Republic of Ireland so BREXIT taxes, vat and duties,👎👎 wud cost a bomb mate🍻🎅🎄👍",1.60606E+18,1.52409E+18,['1606056191360225284'],Milk
