Country,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
,,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020), ,c, ,c,"139,995.45",,"144,627.84",,"147,441.33",p,"148,542.20",p,"149,884.14",p,"151,273.13",p,"152,581.30",p,"154,487.26",p, ,
Belgium,"3,151.00",,"3,116.00",,"3,529.00",,"3,710.00",,"3,826.00",,"3,933.00",,"4,060.00",,"4,195.00",,"4,293.00",,"4,449.00",,"4,434.00",
Bulgaria,"1,126.00",,"1,093.00",,"1,149.00",,"1,103.00",,"1,028.04",,"1,018.58",,968.18,,898.77,,822.3,,881.76,,835.78,
Czechia,"2,735.93",,"2,814.68",,"2,849.43",,"2,933.46",,"3,025.88",,"3,064.73",,"3,079.21",,"3,161.51",,"3,155.79",,"3,267.73",,"3,309.91",
Denmark,"4,879.50",,"5,006.40",,"5,081.80",,"5,162.00",,"5,335.70",,"5,435.70",,"5,502.20",,"5,615.20",,"5,615.00",,"5,666.00",,"5,644.00",
Germany (until 1990 former territory of the FRG),"30,301.36",,"30,672.15",,"31,324.24",,"32,381.06",,"32,670.88",,"32,672.34",,"32,598.20",,"33,086.81",,"33,080.18",,"33,164.91",,"32,506.91",
Estonia,692.4,,720.7,,771.6,,804.8,,782.7,,782.7,,790,,796.9,,820.8,,848.3,,838.7,
Ireland,"5,556.20",,"5,399.30",,"5,600.70",,"5,821.30",,"6,604.41",,"6,871.94",,"7,498.94",,"7,831.25",,"8,244.87",,"8,561.47",,"9,039.99",
Greece,757,,765.5,,730.6,,769,,770,,706,,670,,654.8,,659.38,,683.46,,710.93,
Spain,"6,487.68",,"6,502.41",,"6,559.18",,"6,779.75",p,"7,029.48",p,"7,123.77",p,"7,229.35",p,"7,335.62",p,"7,460.36",,"7,606.07",p,"7,623.09",p
France,"25,091.93",,"24,718.38",,"24,459.76",,"25,728.32",,"25,820.27",,"25,138.93",,"25,055.20",,"25,055.10",,"25,062.00",,"25,234.84",,"24,778.84",p
Croatia,804,,810,,717,,712,,694,,671,,648,,618,,599,,596,,558,
Italy,"11,298.61",,"11,500.00",,"11,281.26",,"11,500.00",,"11,425.94",,"11,886.04",,"12,198.88",,"12,339.75",,"12,494.40",,"12,712.48",,"13,202.45",
Cyprus,156.02,,153.74,,163.27,,164.64,,165.3,p,186.02,,216.39,,228.08,,238.76,,275.16,,298.14,
Latvia,841.7,,870.6,,912,,968.9,p,975.4,,983.5,,998,,980.2,,978.9,,988.2,,990.31,
Lithuania,"1,782.32",,"1,774.53",,"1,719.51",,"1,791.13",,"1,734.73",,"1,623.87",,"1,566.65",,"1,568.01",,"1,547.43",,"1,488.00",,"1,473.28",
Luxembourg,292.25,,289.4,,295.86,,317.05,,346.25,,376.22,,387.18,,407.62,,421.26,,447.34,,443.28,
Hungary,"1,712.48",,"1,812.85",,"1,772.76",,"1,875.72",,"1,941.33",,"1,918.23",,"1,967.50",,"1,948.83",,"1,962.78",,"2,014.33",,"2,080.23",
Malta,:,c,:,c,40.92,,42.77,,41.57,,43.13,,41.03,,40.41,,41.27,,42.11,,39.54,
Netherlands,"11,850.72",,"11,880.95",,"12,407.69",,"12,660.35",,"13,522.12",,"14,531.00",,"14,501.00",,"14,090.00",,"14,555.00",,"14,522.00",,"14,217.25",
Austria,"3,307.13",,"3,382.10",,"3,393.06",,"3,493.86",,"3,537.76",,"3,627.61",,"3,712.73",,"3,821.19",,"3,781.34",,"3,815.47",,"3,830.14",
Poland,"12,414.00",,"12,668.00",,"12,718.00",,"12,986.00",,"13,236.23",,"13,244.17",,"13,694.47",,"14,171.15",,"14,502.76",,"14,821.82",,"14,881.11",
Portugal,"1,918.52",,"1,938.13",,"1,847.98",,"1,942.78",,"2,013.78",,"1,922.97",,"1,921.21",,"1,939.67",,"1,975.49",,"1,993.61",,"1,995.55",
Romania,"4,075.00",,"3,881.00",,"3,966.00",,"4,101.00",,"3,981.00",,"3,934.00",,"3,797.70",,"3,797.60",,"3,663.20",,"3,679.60",,"3,637.00",
Slovenia,601.59,,620.94,,595.5,,616.58,,631.67,,649.68,,647.99,,628.93,,623.02,,630.65,,639.93,
Slovakia,928.32,,932.71,,911.96,,930.71,,930.98,,905.26,,911.73,,904.62,,904.26,,917.69,,902.64,
Finland,"2,300.73",,"2,296.68",,"2,327.80",,"2,400.01",,"2,436.76",,"2,429.59",,"2,405.76",,"2,397.88",,"2,374.36",,"2,406.52",,:,
Sweden,"2,850.40",,"2,861.17",,"2,869.58",,"2,931.65",,"2,933.16",,"2,862.23",,"2,816.66",,"2,760.23",,"2,704.39",,"2,772.74",,"2,782.22",
Iceland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Norway,:,,:,,:,,:,,:,,:,,:,,707.5,,:,,:,,:,
Switzerland,"4,183.00",,:,,:,,:,,:,,:,,:,,:,,"3,376.27",,"3,382.28",,:,
Montenegro,:,,149.6,,172.75,,178.12,,170.7,,168.04,p,169.3,p,168.2,p,165.8,p,:,,:,
North Macedonia,:,,:,,:,,:,,:,,415.14,,405.96,,416.36,,402.63,,417.37,,336.32,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Serbia,:,,:,,:,,"1,536.81",,"1,546.22",,"1,548.70",,"1,550.70",,"1,537.38",,"1,553.84",,"1,539.45",,"1,517.69",
Türkiye,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Kosovo (under United Nations Security Council Resolution 1244/99),:,,:,,:,,:,,:,,:,,333.11,,313.16,,:,,:,,:,
,,,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,,,
 ,not available,,,,,,,,,,,,,,,,,,,,,
Available flags ,,,,,,,,,,,,,,,,,,,,,,
c,confidential,,,,,,,,,,,,,,,,,,,,,
p,provisional,,,,,,,,,,,,,,,,,,,,,
