text,id,author_id,edit_history_tweet_ids
"@fuckedupfoods As Someone From Ireland, We Can Confirm We Do Pour Baileys Instead Of Milk On Our Cereal For Breakfast.",1607779060968574977,1253019792048631810,['1607779060968574977']
"Pronouns: he/him/tat guy
Height: y'
Shoe size: 12
Zodiac:sagitarius
Smoke: no
Tattoos: roughly 200?
Piercings: ears and septum
Fav color: ireland green
Fav drink: chocolate milk https://t.co/wbRbWhVnxK",1607749193900113922,1320733420545343488,['1607749193900113922']
@lidl_ireland milk chocolate coated pistachios.  Thank me later.,1607739270844014592,565259157,['1607739270844014592']
"@davidtobin100 Agreed, a musician would never cut off his fingers? Mad story line. Pints on the bar below full then full when carried outside? Full milk churns lifted single handed off the cart? Come on simple things for a brilliant director &amp; cast. What a missed opportunity for IFB &amp; Ireland.",1607722466578956290,2390486108,['1607722466578956290']
"Bonjour, I'm Meowkil Catson. I come from Ireland. Did you know that 2+2 = 4? Absurd, yes? Take care of me, or I'll leave you only a drop of milk in the carton. I love you!",1607650992119742465,1110398292695773184,['1607650992119742465']
"A big thank you to those folks who voted in the Milk House competition. It's a lovely online poetry magazine and I hope it continues to do well in 2023.
JH x
#Poetry #Ireland #TheMilkHouse 
https://t.co/bh0upSK7jN",1607638781007482880,2604207350,['1607638781007482880']
"Incredible colonoscopic viualization of Trichuris Dysentery Syndrome-the... https://t.co/ynaCUH9rV7 via @YouTube 
india Japan Israel Netherlands Jamaica England Ireland West Indies 750,000 stores goat milk days of got milk or good",1607610546224005122,1565632325626388480,['1607610546224005122']
"Sup yo, I'm Captain Kitty. I come from Ireland. Did you know that 2+2 = 4? Witty, amirite? Take care of me, or I'll leave you only a drop of milk in the carton. I love you!",1607484869407576064,1110398292695773184,['1607484869407576064']
"@CarlowWeather 😲😱🥶,... Did you manage to get the bread and milk? 🤭 ❄️ #Baltic #ArcticBlast #expedition #MountLeinster #Ireland #snow #ice #windchill #mountain #hikingadventures",1607378640781598721,804584434993348608,['1607378640781598721']
"@opheliamuses I've heard for years that doctors in Ireland prescribe Guinness for lactating mothers.  A dark stout.  Evidently full of minerals, low in alcohol content and does something for the milk supply.",1607332811614347265,2329688173,['1607332811614347265']
"@withoutanecho Tbf after watching that film, maybe I wanna go live on a Irish Ireland and just like ride around all day delivering milk",1607273980758474753,461771385,['1607273980758474753']
"@egel34 @JoannaMWallace In NZ the tank is owned by the milk company, ownership of the milk is transferred when entering the tank, in UK/Ireland the tank owned by farmer, ownership of milk transferred when entering the milk tanker collecting from the tank🤔",1607190221841653762,4129657521,['1607190221841653762']
"@AlanBoyce47 @PeterZeihan We don't grow or import alfalfa in Ireland - but produce and export  lots of milk though, 
       Desert grown alfalfa isn't a necessity- there's lots of places in the US that could produce milk",1606947819600097281,1544261904201383937,['1606947819600097281']
