Review,Brand,Category
"I didn’t get the flavor I was expecting, especially for the price. I wanted to love this so much.",Irish,Butter
"Kerrygold is not a dairy in Ireland. It is just an umbrella marketing brandname for many different dairies. In Europe this is not considered a premium brand, is very ordinary. It has a yellower color than American butters, I'll give it that. And But the taste is very, very disappointing to me. Many common brands and even the kind of butter served in cafeterias taste much better to me. I won't be purchasing it again.",Irish,Butter
This is an excellent butter for eating but terrible for baking. It makes my cookies fall apart and leaves a distinct salty taste. I will use it for table but never again for baking.,Irish,Butter
I purchased an 8 oz at the local Kroger for 3.99 I also purchased a pound of the Kroger brand butter well what a disappointment in the Kerrygold pure Irish butter Id much rather use the Kroger brand.,Irish,Butter
And I'm picky about the dairy I use. save your money this is good but there is cheaper out that that is even better,Irish,Butter
Drastically over priced,Irish,Butter
I don't know why this was so pricey. It's just butter.,Irish,Butter
"I've read that it's only 90% grass fed, but ""finished"" with soy and corn. Some women who have had breast cancer cannot eat soy because it acts like estrogen. Also, ""Grass-Fed"" should mean 100% grass fed shouldn't it???",Irish,Butter
Creamy smooth good texture nice butter,Irish,Butter
"this butter taste's creamer than the butter you get here. After buying it from the dealer, we found that Costco is now selling it.",Irish,Butter
Really good butter,Irish,Butter
"I thought I was buying the tub of easily spread butter, although the flavor was great. How do you choose the tub instead?",Irish,Butter
Wish I could find unsalted!!!!,Irish,Butter
It has great taste and last in the refrig for a longtiime .,Irish,Butter
Other friend had recommended this brand to me before.,Irish,Butter
"I bought Kerrygold butter at Sams Club after trying it at a friends house...She said if she was to eat butter it would have to be Good Irish butter. So with that note I decided to try it...At my friends when I tasted it for the first time we had a ton of food and with all the flavors I could not really tell ...to me it was ok.....So I decided to serve it to my family and not tell them what it was..After dinner I asked them how they liked the butter..my youngest who loves Kerrygold cheese told me it tasted like margarine and my husband said, ""its yellow"". and my son said ""its ok"" my opinion is that its ok.and I do like that it is so creamy..When I told them what the butter was... no one said anything except my husband who said ""Tell me you did not buy that""? So there ya go folks..ya either like it or ya dont!!! Probobly wont be buying it anymore.. However we do love the Kerrygold Cheese....By the way we are 100% Italian, could that be the problem? lol",Irish,Butter
"Today was the first time I've tried this butter after reading about it's high Omega-3 content, and of course it being grass-fed and non GMO. It does have a different taste, a little richer and not quite as salty. I'm lucky enough to have an Aldi near me that sells of a $2.65 for the 8-ounce.it seems a little goes a long way!",Irish,Butter
